"Municipio" "Habitantes" "Provincia" "INE" "AMB" "lat" "lon"
"Cabrils" 7439 "Barcelona" "08030" "0" 41.52458 2.36726
"Cadaqués" 2712 "Girona" "17032" "0" 42.28908 3.27778
"Calaf" 3535 "Barcelona" "08031" "0" 41.73175 1.51794
"Calafell" 26538 "Tarragona" "43037" "0" 41.19787 1.56841
"Calders" 970 "Barcelona" "08034" "0" 41.7916 1.99489
"Caldes d'Estrac" 2982 "Barcelona" "08032" "0" 41.57222 2.52802
"Caldes de Malavella" 7641 "Girona" "17033" "0" 41.83856 2.80179
"Caldes de Montbui" 17554 "Barcelona" "08033" "0" 41.63111 2.16868
"Calella" 19069 "Barcelona" "08035" "0" 41.6147 2.65736
"Calldetenes" 2489 "Barcelona" "08037" "0" 41.92529 2.28425
"Callús" 2140 "Barcelona" "08038" "0" 41.7831 1.78307
"Calonge de Segarra" 188 "Barcelona" "08036" "0" 41.74074 1.49394
"Calonge i Sant Antoni" 11092 "Girona" "17034" "0" 41.86123 3.07404
"Camarasa" 817 "Lleida" "25062" "0" 41.8736 0.87538
"Camarles" 3224 "Tarragona" "43903" "0" 40.77125 0.67239
"Cambrils" 33898 "Tarragona" "43038" "0" 41.06731 1.06118
"Camós" 693 "Girona" "17035" "0" 42.0982 2.76458
"Campdevànol" 3223 "Girona" "17036" "0" 42.22562 2.17039
"Campelles" 139 "Girona" "17037" "0" 42.29427 2.14026
"Campins" 529 "Barcelona" "08039" "0" 41.72293 2.46339
"Campllong" 547 "Girona" "17038" "0" 41.8967 2.83062
"Camprodon" 2281 "Girona" "17039" "0" 42.31048 2.36468
"Canejan" 107 "Lleida" "25063" "0" 42.83856 0.73871
"Canet d'Adri" 723 "Girona" "17040" "0" 42.03323 2.73754
"Canet de Mar" 14526 "Barcelona" "08040" "0" 41.59011 2.59025
"la Canonja" 5893 "Tarragona" "43907" "0" 41.12312 1.17849
"Canovelles" 16629 "Barcelona" "08041" "0" 41.6221 2.27804
"Cànoves i Samalús" 3117 "Barcelona" "08042" "0" 41.69504 2.35495
"Cantallops" 313 "Girona" "17041" "0" 42.42175 2.92552
"Canyelles" 4647 "Barcelona" "08043" "0" 41.28669 1.7239
"Capafonts" 121 "Tarragona" "43039" "0" 41.29593 1.0282
"Capçanes" 398 "Tarragona" "43040" "0" 41.10092 0.78134
"Capellades" 5293 "Barcelona" "08044" "0" 41.53181 1.68007
"Capmany" 613 "Girona" "17042" "0" 42.37313 2.92109
"Capolat" 94 "Barcelona" "08045" "0" 42.07712 1.7526
"Cardedeu" 18357 "Barcelona" "08046" "0" 41.6371 2.35924
"Cardona" 4636 "Barcelona" "08047" "0" 41.91729 1.68665
"Carme" 765 "Barcelona" "08048" "0" 41.53198 1.62024
"Caseres" 259 "Tarragona" "43041" "0" 41.03992 0.25118
"Cassà de la Selva" 10380 "Girona" "17044" "0" 41.88973 2.87752
"Casserres" 1608 "Barcelona" "08049" "0" 42.01346 1.8405
"Castell de l'Areny" 68 "Barcelona" "08057" "0" 42.17316 1.94537
"Castell de Mur" 183 "Lleida" "25904" "0" 42.09258 0.87709
"Castellar de la Ribera" 134 "Lleida" "25064" "0" 42.02297 1.41583
"Castellar de n'Hug" 159 "Barcelona" "08052" "0" 42.28252 2.01676
"Castellar del Riu" 169 "Barcelona" "08050" "0" 42.12083 1.76334
"Castellar del Vallès" 24187 "Barcelona" "08051" "0" 41.61536 2.08601
"Castellbell i el Vilar" 3647 "Barcelona" "08053" "0" 41.63946 1.85774
"Castellbisbal" 12390 "Barcelona" "08054" "1" 41.47395 1.97796
"Castellcir" 752 "Barcelona" "08055" "0" 41.7604 2.14895
"Castelldans" 960 "Lleida" "25067" "0" 41.49841 0.76633
"Castelldefels" 67004 "Barcelona" "08056" "1" 41.27938 1.97852
"Castellet i la Gornal" 2292 "Barcelona" "08058" "0" 41.25401 1.59322
"Castellfollit de la Roca" 961 "Girona" "17046" "0" 42.2193 2.54984
"Castellfollit de Riubregós" 151 "Barcelona" "08060" "0" 41.77664 1.43848
"Castellfollit del Boix" 436 "Barcelona" "08059" "0" 41.66674 1.68402
"Castellgalí" 2062 "Barcelona" "08061" "0" 41.6787 1.84731
"Castellnou de Bages" 1397 "Barcelona" "08062" "0" 41.8344 1.83709
"Castellnou de Seana" 683 "Lleida" "25068" "0" 41.64838 0.97074
"Castelló d'Empúries" 10906 "Girona" "17047" "0" 42.25588 3.07648
"Castelló de Farfanya" 536 "Lleida" "25069" "0" 41.81576 0.72702
"Castellolí" 619 "Barcelona" "08063" "0" 41.59754 1.69833
"Castell-Platja d'Aro" 10860 "Girona" "17048" "0" 41.8144 3.03181
"Castellserà" 1003 "Lleida" "25070" "0" 41.74614 0.98671
"Castellterçol" 2463 "Barcelona" "08064" "0" 41.76083 2.11869
"Castellvell del Camp" 2857 "Tarragona" "43042" "0" 41.18049 1.09955
"Castellví de la Marca" 1535 "Barcelona" "08065" "0" 41.33249 1.59387
"Castellví de Rosanes" 1884 "Barcelona" "08066" "0" 41.45115 1.8987
"el Catllar" 4451 "Tarragona" "43043" "0" 41.17555 1.32736
"Cava" 47 "Lleida" "25071" "0" 42.32568 1.58401
"la Cellera de Ter" 1946 "Girona" "17189" "0" 41.97006 2.6205
"Celrà" 5452 "Girona" "17049" "0" 42.0287 2.87824
"Centelles" 7404 "Barcelona" "08067" "0" 41.79808 2.2183
